Position,Min_Hourly,Mid_Hourly,Max_Hourly,Min_Annual,Mid_Annual,Max_Annual
Accountant I,18,22,28,37440,45760,58240
Administrative Assistant,14,17,21,29120,35360,43680
Area Sales Manager,35,45,58,72800,93600,120640
BI Developer,32,42,55,66560,87360,114400
CIO,75,90,110,156000,187200,228800
Data Architect,45,58,72,93600,120640,149760
Database Administrator,30,40,52,62400,83200,108160
Data Analyst,25,33,42,52000,68640,87360
Director of Operations,60,75,92,124800,156000,191360
Director of Sales,60,75,92,124800,156000,191360
IT Director,65,80,98,135200,166400,203840
IT Manager - DB,50,62,76,104000,128960,158080
IT Manager - Infra,50,62,76,104000,128960,158080
IT Manager - Support,48,60,74,99840,124800,153920
IT Support,18,23,30,37440,47840,62400
Network Engineer,32,42,54,66560,87360,112320
President & CEO,95,115,140,197600,239200,291200
Production Manager,45,55,68,93600,114400,141440
Production Technician I,14,17.5,22,29120,36400,45760
Production Technician II,17,21,26,35360,43680,54080
Sales Manager,48,60,74,99840,124800,153920
Senior BI Developer,42,54,68,87360,112320,141440
Shared Services Manager,38,48,60,79040,99840,124800
Software Engineer,35,46,58,72800,95680,120640
Software Engineer Manager,52,65,80,108160,135200,166400
Sr. Accountant,28,35,44,58240,72800,91520
Sr. DBA,42,54,68,87360,112320,141440
Enterprise Architect,55,68,84,114400,141440,174720
Principal Data Architect,58,72,88,120640,149760,183040
Sr. Network Engineer,42,54,68,87360,112320,141440
